id,name,type,start_year,end_year,latitude,longitude,description
ROM001,Roman Empire,EMPIRE,-27,476,41.9028,12.4964,"The Roman Empire at its height, ruled by Augustus Caesar around year 0"
PAR001,Parthian Empire,EMPIRE,-247,224,33.0937,44.1446,"The Parthian Empire, major rival of Rome in the east"
KUS001,Kushan Empire,EMPIRE,-30,375,34.5553,69.2075,"The Kushan Empire, controlling much of Central and South Asia"
XIN001,Xin Dynasty,EMPIRE,-9,23,34.3416,108.9398,"The Xin Dynasty under Wang Mang in China"
NAB001,Nabataean Kingdom,KINGDOM,-168,106,30.3285,35.4444,"The Nabataean Kingdom, centered on its capital Petra"
PON001,Kingdom of Pontus,KINGDOM,-291,62,41.0214,40.5238,"The Kingdom of Pontus in Asia Minor"
AXU001,Kingdom of Axum,KINGDOM,-100,960,14.1319,38.7168,"The Kingdom of Axum in modern-day Ethiopia"
CHE001,Chera Dynasty,KINGDOM,-300,1102,10.8505,76.2711,"The Chera Dynasty in southern India"
ATH001,Athens,CITY_STATE,-5000,0,37.9838,23.7275,"The city-state of Athens, center of Greek culture"
SPA001,Sparta,CITY_STATE,-900,0,37.0742,22.4309,"The militaristic city-state of Sparta"
COR001,Corinth,CITY_STATE,-800,0,37.9061,22.8787,"The wealthy city-state of Corinth"
GAU001,Gallic Tribes,TRIBE,-600,50,48.8566,2.3522,"Various Gallic tribes in modern-day France"
GER001,Germanic Tribes,TRIBE,-600,500,52.5200,13.4050,"Germanic tribes east of the Rhine"
BRI001,British Tribes,TRIBE,-800,43,51.5074,-0.1278,"Celtic tribes in Britain before Roman conquest"
