src,dst,type,explanation,link
han_empire,xiongnu_confederation,military_raid,Xiongnu raids along northern Han borders,
kushan_empire,han_empire,trade_route_establishment,Establishment of major Silk Road trading posts,
han_empire,koguryo,vassalization,Early tributary relationship established with Koguryo kingdom,
xiongnu_confederation,han_empire,tribute_payment,Regular tribute payments to maintain peace,
parthian_empire,kushan_empire,border_skirmish,Territorial disputes in Bactrian region,
parthian_empire,roman_empire,naval_battle,Conflicts over control of Persian Gulf trade routes,
kushan_empire,gupta_empire,cultural_exchange,Buddhist cultural transmission and artistic styles,
han_empire,parthian_empire,diplomatic_mission,Exchange of envoys and diplomatic gifts,
roman_empire,axum_kingdom,trade_agreement,Trade agreements for Red Sea commerce,
parthian_empire,nabataean_kingdom,trade_route_establishment,Desert trade route network expansion,
kushan_empire,xiongnu_confederation,military_alliance,Temporary alliance against Han expansion,
gupta_empire,han_empire,technological_transfer,Metallurgy and textile production techniques,
axum_kingdom,gupta_empire,trade_route_establishment,Indian Ocean maritime trade network,
roman_empire,gupta_empire,resource_exchange,Trade in spices, textiles and precious stones,
han_empire,nabataean_kingdom,trade_agreement,Indirect trade via Parthian intermediaries,
parthian_empire,axum_kingdom,naval_battle,Conflict over Red Sea trade routes,
kushan_empire,nabataean_kingdom,cultural_exchange,Religious and artistic influences,
xiongnu_confederation,koguryo,military_raid,Border raids and territorial expansion,
gupta_empire,axum_kingdom,diplomatic_mission,Maritime diplomatic relations established
