id,source_id,target_id,type,year,description
INT001,ROM001,PAR001,WAR,-1,"Battle of Carrhae aftermath, continued Roman-Parthian tensions"
INT002,ROM001,GAU001,WAR,0,"Ongoing Roman campaigns in Gaul after Caesar's conquest"
INT003,ROM001,GER001,WAR,0,"Roman conflicts with Germanic tribes across the Rhine"
INT004,ROM001,NAB001,TRADE,0,"Active trade routes between Rome and Petra"
INT005,PAR001,KUS001,TRADE,0,"Silk Road trade between Parthia and Kushan Empire"
INT006,ROM001,XIN001,TRADE,0,"Indirect silk trade through intermediaries"
INT007,KUS001,CHE001,TRADE,0,"Trade routes between Central Asia and South India"
INT008,NAB001,AXU001,TRADE,0,"Red Sea trade routes connecting Arabia and East Africa"
INT009,ROM001,ATH001,DIPLOMACY,0,"Roman political influence over Athens"
INT010,ROM001,SPA001,DIPLOMACY,0,"Roman diplomatic relations with Sparta"
INT011,ROM001,COR001,DIPLOMACY,0,"Roman oversight of Corinth as provincial capital"
INT012,PAR001,KUS001,DIPLOMACY,0,"Diplomatic relations along the Silk Road"
INT013,XIN001,KUS001,ALLIANCE,0,"Alliance between Xin Dynasty and Kushan Empire"
INT014,NAB001,ROM001,TRIBUTE,0,"Nabataean client kingdom paying tribute to Rome"
INT015,PON001,ROM001,WAR,-1,"Aftermath of Pontic Wars and Roman control"
INT016,ROM001,BRI001,WAR,0,"Early Roman expeditions to Britain"
